dataset_id,version_label,version_order,version_source,commit_sha,commit_date,authors,approx_size_bytes,session_commit_count,status
adalat-ai/fleurs-ro,v1.0,1,tag,8c4002f1ad92ac6b2ff064f7d4e824cd987a2374,2026-08-14T09:42:24+00:00,kavyamanohar,945697641,1,ok
adalat-ai/fleurs-ro,v1.1,2,tag,b246aed280e7e14a138cc3f18fd418d967226c63,2026-08-14T09:58:46+00:00,kavyamanohar,945698475,1,ok
adalat-ai/fleurs-ro,v2.0,3,tag,68419f1e54d638a9b9afb9501b558d4ecb539182,2026-08-14T11:52:26+00:00,kavyamanohar,1107110707,1,ok
theayos/libero_spatial_image,v2.0,1,tag,62d57cee0c39f76c2a08be92665ece7cda7f0e7b,2026-01-29T09:08:46+00:00,"theayos,mshukor",6605736051,1,ok
theayos/libero_spatial_image,v2.1,2,tag,663ce2e7a2f4207b55d6df1707d44e0713967c8e,2026-02-24T14:44:42+00:00,theayos,6606811244,1,ok
theayos/libero_spatial_image,v3.0,3,tag,1b8f31bc09eec4f5e1e750f4dd1e37e386b85015,2026-02-25T11:56:25+00:00,theayos,6602457082,1,ok
joung/example_dataset,session-1,1,commit_session,d9cfe0aecba1db7adf948071e8a40681d51009ac,2026-02-12T08:47:12+00:00,joung,10308624,14,ok
joung/example_dataset,session-2,2,commit_session,88cd7edc2c29df668560e0c7429e17a49e136f29,2026-02-26T08:59:57+00:00,joung,11137880,2,ok
edinburghcstr/ami,session-1,1,commit_session,305afbb5496536ddf7c5770abc2fc0ca0ffd2a47,2022-08-18T14:42:57+00:00,patrickvonplaten,9954369149,4,ok
edinburghcstr/ami,session-2,2,commit_session,24aa3f784a554a154d0c4a7ce814f809e3163031,2022-09-02T10:56:33+00:00,patrickvonplaten,9954371778,1,ok
edinburghcstr/ami,session-3,3,commit_session,22abbdb2f7e0096e1796bf85d58aeb4a134a7f5c,2022-10-12T12:40:38+00:00,polinaeterna,9954374577,1,ok
edinburghcstr/ami,session-4,4,commit_session,e93710fb4cd07c1f19214a63b6311383a8808894,2022-11-02T00:21:30+00:00,patrickvonplaten,19125013842,5,ok
edinburghcstr/ami,session-5,5,commit_session,46f28f2503e2ec48f8867a84eef356c70476beab,2026-01-13T17:18:38+00:00,"patrickvonplaten,lhoestq",29011765157,2,ok
xlangai/spider,session-1,1,commit_session,35a95449a371cc425ed0c789441facd0a5945815,2022-01-25T15:50:55+00:00,system,13825,4,ok
xlangai/spider,session-2,2,commit_session,eb27f6b14c95967490e458ab29803597d70366ba,2022-05-26T06:40:43+00:00,albertvillanova,99749967,2,ok
xlangai/spider,session-3,3,commit_session,ae8f3271bb8c8206350a2b3477616da0b35e2804,2022-10-28T16:39:25+00:00,mariosasko,99747428,1,ok
xlangai/spider,session-4,4,commit_session,fbb01a4f128231b111c4a047b6d0f6bf36d1f5a6,2024-01-04T16:28:08+00:00,albertvillanova,963260,1,ok
Team-DIANA/green-probe-dataset,session-1,1,commit_session,9969d431ecbb4238bf7c6decb82ca84043b5a569,2024-03-22T18:07:09+00:00,H4R,309747052,1,ok
Team-DIANA/green-probe-dataset,session-2,2,commit_session,08b0ad513e675e13a2dc9dc750b555ec44c06007,2024-04-03T16:39:35+00:00,Anatr1,488419358,2,ok
Team-DIANA/green-probe-dataset,session-3,3,commit_session,bad64882eaf8c0bfe755cd3a2701b73868a8f4d9,2024-04-13T10:58:12+00:00,Anatr1,488452886,1,ok
nwu-ctext/nchlt,session-1,1,commit_session,a11a17acd1480a5dea1f12fcee27bf2686e03703,2022-01-25T15:35:54+00:00,system,63490,1,ok
