dataset_id,num_tags,num_branches,num_commits_substantive,eligible,eligibility_reason,status,error_category,error
synthetic-code-training/func_localize_claude235_1907i,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
II-Vietnam/agentic_ii_agent_Qwen3_coder,0,0,0,False,,access_restricted,access_restricted,"403 Client Error. (Request ID: Root=1-6a6a4b1e-0ad2bead0585302670e3df4f;cee9d38b-57a7-47ae-b3c9-8090f69eac94)

Cannot ac"
electricsheepafrica/africa-morocco-pluie-journaliere-du-barrage-y-b-tachfine-1967-2024-853257cf,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
Nikhil-2004/Herbs,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
DCAgent2/terminal_bench_2_b1_top32_seq_20260407_182112,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
CSDDSFSFSAFSAF/iad-agent-sft-media-v2-plus102,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
Sophon96/record-test,1,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
tttx/3k_forcing_022225_buffer,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
french-open-data/melt-inclusion-dataset,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
yimingzhang/PKU-SafeRLHF-random-reset-X1,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
extralit-dev/test_import_dataset_from_hub_with_classlabel_029795a0-6247-4ef8-ada3-1501602c12ea,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
MahdiBeig/AnimalRID_Dataset,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
abhinav302019/olympiad_data_504,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
TerroTrizen/Lyrics,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
longevity-db/human-optic-nerve-fibroblasts-snRNAseq,0,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
akabhinav32/kikobot_final2_50,1,1,0,False,ineligible: tags<2 i (branches<2 o substantive_commits<2 amb 0 commits revisats),classified,,
