dataset_id,version_from,version_to,code,is_breaking
ykorkmaz/aloha_open_bottle_failure,f5ea97ff9a5dc889e28badf64ad77e69c0ff9305,ae0c5113c284fb36c04d548f717d08b773514c52,C421,False
ykorkmaz/aloha_open_bottle_failure,f5ea97ff9a5dc889e28badf64ad77e69c0ff9305,ae0c5113c284fb36c04d548f717d08b773514c52,C421,False
ykorkmaz/aloha_open_bottle_failure,f5ea97ff9a5dc889e28badf64ad77e69c0ff9305,ae0c5113c284fb36c04d548f717d08b773514c52,C421,False
ykorkmaz/aloha_open_bottle_failure,1e118f8ba02331f2fd8b3ed4e8dd31c81628c575,f5ea97ff9a5dc889e28badf64ad77e69c0ff9305,C422,False
ykorkmaz/aloha_open_bottle_failure,1e118f8ba02331f2fd8b3ed4e8dd31c81628c575,f5ea97ff9a5dc889e28badf64ad77e69c0ff9305,C422,False
ykorkmaz/aloha_open_bottle_failure,6c45a96ff2eaf653abce86be4bc18cc83e968620,d8bcfa3d3ae45feab091a5afd45311dd2ce70533,C421,False
ykorkmaz/aloha_open_bottle_failure,6c45a96ff2eaf653abce86be4bc18cc83e968620,d8bcfa3d3ae45feab091a5afd45311dd2ce70533,C421,False
davidgoss/so100_test,860945582e3a57c38ec485d1e4e92ac45d180052,e7507a5bfd86766f4277e54b0b1476113296c446,C421,False
davidgoss/so100_test,860945582e3a57c38ec485d1e4e92ac45d180052,e7507a5bfd86766f4277e54b0b1476113296c446,C421,False
davidgoss/so100_test,860945582e3a57c38ec485d1e4e92ac45d180052,e7507a5bfd86766f4277e54b0b1476113296c446,C421,False
davidgoss/so100_test,860945582e3a57c38ec485d1e4e92ac45d180052,e7507a5bfd86766f4277e54b0b1476113296c446,C421,False
davidgoss/so100_test,860945582e3a57c38ec485d1e4e92ac45d180052,e7507a5bfd86766f4277e54b0b1476113296c446,C421,False
davidgoss/so100_test,6b39c6203eac21ccabfc696457d53e00bb8542f0,23b0153e93b39b0041722e735d411f61112582c7,C322,False
davidgoss/so100_test,6b39c6203eac21ccabfc696457d53e00bb8542f0,23b0153e93b39b0041722e735d411f61112582c7,C421,False
davidgoss/so100_test,6b39c6203eac21ccabfc696457d53e00bb8542f0,23b0153e93b39b0041722e735d411f61112582c7,C530,False
davidgoss/so100_test,6b39c6203eac21ccabfc696457d53e00bb8542f0,23b0153e93b39b0041722e735d411f61112582c7,C322,False
davidgoss/so100_test,6b39c6203eac21ccabfc696457d53e00bb8542f0,23b0153e93b39b0041722e735d411f61112582c7,C421,False
davidgoss/so100_test,6b39c6203eac21ccabfc696457d53e00bb8542f0,23b0153e93b39b0041722e735d411f61112582c7,C530,False
davidgoss/so100_test,9317fdee1808e33c2510f2063cd78eb27b6f5635,5f3406fe53a35ee9ee611b6d55fd38db8f35fa69,C322,False
davidgoss/so100_test,9317fdee1808e33c2510f2063cd78eb27b6f5635,5f3406fe53a35ee9ee611b6d55fd38db8f35fa69,C422,False
davidgoss/so100_test,f90b0e5b318dc13db90ca530cb677b7b7d271c72,f66dad41206763ae9e345ef82de6d54b01eb0b70,C421,False
davidgoss/so100_test,f90b0e5b318dc13db90ca530cb677b7b7d271c72,f66dad41206763ae9e345ef82de6d54b01eb0b70,C421,False
hotosm/fAIr-guru-td-buildings,d80ea18cb93d92204efdd97bb34df32c9ebff430,5a14f2f580711a878ba0c2c24c6cac440f9c8298,C221,False
hotosm/fAIr-guru-td-buildings,dfb303d2d4eb94ff064fce73b1f9497b6d026080,db290671c177b2bfd34b84bf3f634aab8db0ff73,C421,False
yunosuken/sentiment-train,e39a534fdfd2e64663dc1b012288dadf645a3ce9,129b5344ca26da68d28f17cf87b75a87f9d0a30b,C422,False
